ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,Cost,CostUSD,Currency
vault-pe,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/privateendpoints/vault-pe,Private endpoint,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],149.551285,1.822545936,INR
kubernetes,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.network/loadbalancers/kubernetes,Load balancer,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-cluster-name\"":\""readit-card-aks\"""",""\""aks-managed-cluster-rg\"":\""rg_memilavi_readitapp\""""]",117.806165,1.435675711,INR
log-redaitapp-ws,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.operationalinsights/workspaces/log-redaitapp-ws,Log Analytics workspace,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],109.0834708,1.329374311,INR
interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/virtualmachines/interstellar,Virtual machine,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,"IN Central, Asia, Intercontinental",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",75.37825459,0.91288741,INR
aks-agentpool-405404aks-agentpool-4054048os__1_c6cfe12c47ec4856a6c2e0ae517353e5,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.compute/disks/aks-agentpool-405404aks-agentpool-4054048os__1_c6cfe12c47ec4856a6c2e0ae517353e5,Disk,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-createoperationid\"":\""e41c1b09-ae7f-44cd-9d19-7552743a4ce5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-40540486-vmss\"""",""\""aks-managed-kubeletidentityclientid\"":\""80c68022-5f0a-4639-ab10-e3691afbfd16\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.25.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""40026033\"""",""\""aks-managed-consolidated-additional-properties\"":\""e3177e84-2b6a-11ee-8103-a22f9bf481b7\"""",""\""aks-managed-coordination\"":\""true\""""]",74.89431912,0.912719252,INR
catalog-vm,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/virtualmachines/catalog-vm,Virtual machine,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,"Intercontinental, IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""env\"":\""test\"""",""\""group\"":\""a-team\""""]",57.29683458,0.696883055,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",27.87419854,0.338432124,INR
csg10032001018be032,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/cloud-shell-storage-centralindia/providers/microsoft.storage/storageaccounts/csg10032001018be032,Storage account,cloud-shell-storage-centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/cloud-shell-storage-centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""ms-resource-usage\"":\""azure-cloud-shell\""""]",23.93431599,0.290592719,INR
46fc5010-b4b2-48f4-9912-9b0096985435,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.network/publicipaddresses/46fc5010-b4b2-48f4-9912-9b0096985435,Public IP address,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-cluster-name\"":\""readit-card-aks\"""",""\""aks-managed-cluster-rg\"":\""rg_memilavi_readitapp\"""",""\""aks-managed-type\"":\""aks-slb-managed-outbound-ip\""""]",23.46029772,0.285905068,INR
kubernetes-a52f56dfd80ac479c8ea66702949b059,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.network/publicipaddresses/kubernetes-a52f56dfd80ac479c8ea66702949b059,Public IP address,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""k8s-azure-cluster-name\"":\""kubernetes\"""",""\""k8s-azure-service\"":\""default/readit-cart\""""]",21.49693772,0.261978066,INR
azurefunctionstorgae,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/azurefunction_sb/providers/microsoft.storage/storageaccounts/azurefunctionstorgae,Storage account,azurefunction_sb,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/azurefunction_sb,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#azure_function\"":\""azurefunction\""""]",17.29861977,0.210030844,INR
iventory-avalibility-test-sb-readit-inventory,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.insights/metricalerts/iventory-avalibility-test-sb-readit-inventory,microsoft.insights/metricalerts,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,Unknown,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""hidden-link:/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.insights/components/sb-readit-inventory\"":\""resource\"""",""\""hidden-link:/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.insights/webtests/iventory-avalibility-test-sb-readit-inventory\"":\""resource\""""]",13.1418619,0.160156745,INR
asp-rgmemilavireaditapp-99db,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.web/serverfarms/asp-rgmemilavireaditapp-99db,App Service plan,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],12.76872818,0.155609453,INR
